2g	4mL		
RT	area		
3.593	1.415	3.599	0.328
3.656	0.962	3.662	0.672
4.336	0.499	5.152	0.423
5.47	0.347	5.47	0.371
6.145	31.849	6.148	1.309
6.416	6.371	6.416	310.372
7.39	0.758	8.578	0.391
9.298	0.529	9.301	0.441
10.054	1.557	12.713	2.024
12.721	0.544	18.166	0.498
19.415	0.897	19.157	0.711
22.727	0.535	20.04	1.534
27.069	0.706	20.178	0.474
28.288	0.548	22.44	0.497
29.05	1.248	22.617	0.771
35.083	3.389	24.521	0.404
35.374	0.892	27.007	1.912
37.448	5.367	29.008	2.138
38.822	0.403	31.099	0.804
41.531	0.484	35.048	2.173
47.051	3.679	35.364	64.785
51.751	0.748	37.445	13.882
53.401	1.446	38.823	0.77
57.483	11.567	41.524	0.852
58.452	1.774	44.884	0.547
58.839	2.053	45.653	0.661
59.128	2.161	47.042	3.576
60.617	1.547	53.395	1.285
62.828	2.272	57.537	14.58
62.961	1.657	58.438	1.781
66.782	1.298	58.836	2.865
67.697	2.336	59.119	1.811
68.164	5.508	60.61	2.889
69.293	0.52	62.96	0.765
69.933	1.052	63.588	0.855
70.079	0.542	65.455	0.707
72.737	1.402	66.777	1.776
73.127	5.939	68.168	1.919
74.936	0.556	68.438	0.813
77.887	2.272	69.909	0.74
79.346	2.514	70.36	0.564
80.298	235.608	71.263	0.575
		72.728	3.022
		73.133	2.184
		73.267	0.491
		74.941	0.575
		75.085	6.864
		77.879	1.602
		79.334	1.387
		80.288	244.288
